"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Sending - Recieving - Deleting messages flow","chat-serial","Sun Feb 22 19:45:47 UTC 2026","skipped","Sun Feb 22 19:45:47 UTC 2026","Chat Messages Functionality","e2e/chat-messages.spec.ts","",""
"","813","Navigation to secured locations page without login","parallel","Sun Feb 22 19:43:38 UTC 2026","passed","Sun Feb 22 19:43:39 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","7968","Delete conversation","parallel","Sun Feb 22 19:43:52 UTC 2026","passed","Sun Feb 22 19:44:00 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","8825","Clean room history","parallel","Sun Feb 22 19:43:43 UTC 2026","passed","Sun Feb 22 19:43:52 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","2776","Signing up using existing email flow","parallel","Sun Feb 22 19:44:46 UTC 2026","passed","Sun Feb 22 19:44:49 UTC 2026","OTP processes - Sign up Functionality","e2e/otp-processes.spec.ts","",""
"","15008","Online users indicator test","parallel","Sun Feb 22 19:45:29 UTC 2026","failed","Sun Feb 22 19:45:44 UTC 2026","Presence Functionality","e2e/presence.spec.ts","",""
"","3240","Start a group chat","parallel","Sun Feb 22 19:44:03 UTC 2026","passed","Sun Feb 22 19:44:06 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","0","@Offline mode - Message should queue and send when back online","offline","Sun Feb 22 19:45:47 UTC 2026","skipped","Sun Feb 22 19:45:47 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","2855","Forgot My Password - Fake account - Mimic code sending","parallel","Sun Feb 22 19:44:33 UTC 2026","passed","Sun Feb 22 19:44:36 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","4078","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Sun Feb 22 19:44:06 UTC 2026","passed","Sun Feb 22 19:44:10 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
