"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3143","@Login @HappyPath Successful login for shoham@gmail.com","parallel","2026-09-19","passed","2026-09-19","Login Functionality","e2e/login-validations.spec.ts","",""
"","17116","@Offline mode - Messages should dissapear after refresh when cleaning history while offline","offline","2026-09-19","passed","2026-09-19","Offline Mode - Separated Scenarios > Conversation clean history","e2e/offline-mode-edge-cases.spec.ts","",""
"","3637","Forgot My Password - Email Validations","parallel","2026-09-19","passed","2026-09-19","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","1803","Signing up using existing email flow","parallel","2026-09-19","passed","2026-09-19","OTP processes - Sign up Functionality","e2e/otp-processes.spec.ts","",""
"","1611","Start a group chat","parallel","2026-09-19","passed","2026-09-19","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","719","Allow navigation to non secured contact path without login","parallel","2026-09-19","passed","2026-09-19","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","646","@Login @Offline mode","parallel","2026-09-19","passed","2026-09-19","Login Functionality","e2e/login-validations.spec.ts","",""
"","6037","Online users indicator test","parallel","2026-09-19","passed","2026-09-19","Presence Functionality","e2e/presence.spec.ts","",""
"","749","Navigation to secured locations page without login","parallel","2026-09-19","passed","2026-09-19","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","5200","@Offline mode - Conversation should dissapear when deleting it while offline","offline","2026-09-19","passed","2026-09-19","Offline Mode - Separated Scenarios > Conversation delete","e2e/offline-mode-edge-cases.spec.ts","",""
"","3335","@Login @HappyPath Successful login for skgladiator3@gmail.com","parallel","2026-09-19","passed","2026-09-19","Login Functionality","e2e/login-validations.spec.ts","",""
"","4403","setup - skgladiator4@gmail.com","setup","2026-09-19","passed","2026-09-19","Login Functionality","utils/global.setup.ts","",""
"","6066","Delete conversation","parallel","2026-09-19","passed","2026-09-19","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","4758","setup - skgladiator3@gmail.com","setup","2026-09-19","passed","2026-09-19","Login Functionality","utils/global.setup.ts","",""
